"paper_target","registry_key","value","source_script","exhibit"
"Children under five in the analysis universe","total_under5","294417","scripts/01-1_demand_uncertainty.R","Sec. 2 / Table A.1"
"Licensed daytime slots (fixed supply baseline)","total_day_slots","117062","scripts/01-2_supply_uncertainty.R","Sec. 2"
"Zero-demand tracts excluded from the model","n_zero_demand","27","scripts/01-1_demand_uncertainty.R","Table A.1"
"Statewide licensed slots per child","licensed_slots_per_child","0.397606116494632","scripts/01-3_preregister_decisions.R","Sec. 3 / App. B"
"Child-weighted fixed E2SFCA coverage","fixed_e2sfca_child_weighted","0.394192590781103","scripts/01-3_preregister_decisions.R","App. B"
"Effective daytime slots (survey-calibrated)","expected_effective_day_slots","102699.329232","scripts/01-2_supply_uncertainty.R","App. C"
"Joint posterior draws","posterior_draws_primary","2000","scripts/01-3_preregister_decisions.R","Sec. 3 / App. E"
"BYM2 structured-variance fraction (phi)","bym2_phi_post_mean","0.991970810766954","scripts/02-1_fit_bym2.R","App. D"
"BYM2 marginal SD (sigma)","bym2_sigma_post_mean","0.976383077912695","scripts/02-1_fit_bym2.R","App. D"
"Median tract posterior desert probability","median_desert_prob","0.611","scripts/02-3_desert_probability.R","Sec. 4 / Fig. F1"
"Tracts with desert probability > 0.50","n_prob_gt_50","816","scripts/02-3_desert_probability.R","Table T1"
"Tracts with desert probability > 0.90","n_prob_gt_90","280","scripts/02-3_desert_probability.R","Table T1"
"Tracts with desert probability > 0.95","n_prob_gt_95","152","scripts/02-3_desert_probability.R","Table T1"
"Median relative 95% width, high-CV stratum","median_relative_95_width_high_cv","6.7130098741976","scripts/02-2_posterior_draws.R","Sec. 4 / App. E"
"Median relative 95% width, low-CV stratum","median_relative_95_width_low_cv","3.10761437134301","scripts/02-2_posterior_draws.R","Sec. 4 / App. E"
"Tracts declared at FDR q=0.10","n_desert_fdr_q10","512","scripts/03-1_sun_fdr.R","Fig. F2 / Table T1"
"Achieved mean LIS for the FDR prefix","fdr_achieved_mean_lis","0.0999912109375","scripts/03-1_sun_fdr.R","Table T1"
"Tracts in the FDX headline core","n_desert_fdx","412","scripts/03-1_sun_fdr.R","Fig. F3 / Table T1"
"Achieved P(FDP>0.10) for the FDX prefix","fdx_achieved_tail_probability","0.0495","scripts/03-1_sun_fdr.R","Table T1"
"Counties declared (child-weighted)","n_desert_counties_weighted","13","scripts/03-1_sun_fdr.R","Fig. F5"
"Deterministic (P01) point deserts","n_p01_desert_e2sfca","690","scripts/00-2_audit_sources.R","Fig. F4 / Table T2"
"Point deserts surviving the FDR declaration","n_point690_surviving_fdr","500","scripts/03-2_compare_p01.R","Table T2"
"New FDR declarations among point non-deserts","n_fdr_new_vs_point","12","scripts/03-2_compare_p01.R","Table T2"
"Share of point deserts surviving (percent)","pct_point_surviving","72.463768115942","scripts/03-2_compare_p01.R","Sec. 4 / Table T2"
"P01 always-desert stability anchor","p01_always_desert","519","scripts/00-2_audit_sources.R","Fig. F6"
"Anchor share FDR-declared (percent)","pct_certain519_in_fdr","84.971098265896","scripts/03-3_sensitivity.R","Fig. F6 / Table T3"
"Anchor share in FDX core (percent)","pct_certain519_in_fdx","72.6396917148362","scripts/03-3_sensitivity.R","Fig. F6 / Table T3"
"FDR count at A=0.25 (sensitivity)","fdr_count_A025","296","scripts/03-3_sensitivity.R","Table T3"
"FDR count at A=0.50 (sensitivity)","fdr_count_A050","885","scripts/03-3_sensitivity.R","Table T3"
"County count, equal-tract weight (sensitivity)","county_count_equal","9","scripts/03-3_sensitivity.R","Table T3"
"County count, area weight (sensitivity)","county_count_area","19","scripts/03-3_sensitivity.R","Table T3"
