"rank","posterior_exceedance_probability"
1,5e-04
2,0.0015
3,0.003
4,0.005
5,0.007
6,0.009
7,0.0115
8,0.0145
9,0.0175
10,0
11,0
12,0
13,0.001
14,0.001
15,0.0015
16,0.0015
17,0.002
18,0.0025
19,0.0045
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,5e-04
217,5e-04
218,5e-04
219,5e-04
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,5e-04
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,5e-04
277,5e-04
278,0.001
279,0.001
280,0
281,5e-04
282,5e-04
283,5e-04
284,5e-04
285,0.001
286,0.001
287,0.001
288,0.001
289,0.001
290,0.001
291,0.001
292,0.001
293,0.001
294,0.001
295,0.001
296,0.001
297,0.001
298,0.001
299,0.001
300,5e-04
301,5e-04
302,5e-04
303,5e-04
304,0.001
305,0.001
306,0.0015
307,0.0015
308,0.002
309,0.002
310,0.0015
311,0.0015
312,0.0015
313,0.0015
314,0.0015
315,0.0015
316,0.0015
317,0.0015
318,0.0015
319,0.0015
320,0.0015
321,0.0015
322,0.0015
323,0.0015
324,0.0015
325,0.002
326,0.002
327,0.002
328,0.0025
329,0.0025
330,0.002
331,0.002
332,0.002
333,0.0025
334,0.0025
335,0.003
336,0.003
337,0.0035
338,0.0045
339,0.005
340,0.0035
341,0.0035
342,0.0035
343,0.004
344,0.0045
345,0.0045
346,0.0045
347,0.005
348,0.0055
349,0.0065
350,0.005
351,0.005
352,0.0055
353,0.0065
354,0.007
355,0.007
356,0.007
357,0.0075
358,0.008
359,0.0085
360,0.008
361,0.009
362,0.009
363,0.0095
364,0.012
365,0.012
366,0.012
367,0.0135
368,0.0135
369,0.0145
370,0.01
371,0.0115
372,0.012
373,0.0135
374,0.015
375,0.0155
376,0.0165
377,0.0165
378,0.017
379,0.0175
380,0.013
381,0.014
382,0.016
383,0.0165
384,0.019
385,0.0215
386,0.0225
387,0.0235
388,0.024
389,0.0245
390,0.0205
391,0.021
392,0.022
393,0.0245
394,0.0275
395,0.029
396,0.0305
397,0.031
398,0.0345
399,0.04
400,0.028
401,0.0315
402,0.033
403,0.036
404,0.04
405,0.0415
406,0.044
407,0.047
408,0.051
409,0.0555
410,0.0425
411,0.045
412,0.0495
413,0.053
414,0.055
415,0.0575
416,0.0625
417,0.0645
418,0.069
419,0.073
420,0.0575
421,0.061
422,0.064
423,0.067
424,0.07
425,0.0725
426,0.077
427,0.082
428,0.086
429,0.092
430,0.077
431,0.081
432,0.0835
433,0.0895
434,0.096
435,0.1025
436,0.105
437,0.11
438,0.1165
439,0.1205
440,0.1015
441,0.1055
442,0.1105
443,0.1155
444,0.12
445,0.128
446,0.134
447,0.141
448,0.1475
449,0.154
450,0.1275
451,0.1335
452,0.141
453,0.15
454,0.156
455,0.166
456,0.177
457,0.1835
458,0.191
459,0.1975
460,0.168
461,0.177
462,0.188
463,0.195
464,0.2045
465,0.2155
466,0.225
467,0.232
468,0.2385
469,0.247
470,0.219
471,0.228
472,0.235
473,0.244
474,0.2555
475,0.2645
476,0.2725
477,0.282
478,0.2905
479,0.299
480,0.266
481,0.2765
482,0.285
483,0.294
484,0.308
485,0.3185
486,0.325
487,0.3385
488,0.3455
489,0.357
490,0.319
491,0.3305
492,0.3395
493,0.351
494,0.364
495,0.375
496,0.3865
497,0.4015
498,0.4125
499,0.425
500,0.387
501,0.398
502,0.4105
503,0.423
504,0.436
505,0.4485
506,0.46
507,0.474
508,0.489
509,0.5025
510,0.458
511,0.4755
512,0.4835
513,0.4935
514,0.5045
515,0.5185
516,0.531
517,0.5435
518,0.552
519,0.5675
520,0.535
521,0.544
522,0.5565
523,0.5645
524,0.5725
525,0.5825
526,0.5925
527,0.6005
528,0.611
529,0.6185
530,0.5885
531,0.5975
532,0.6075
533,0.619
534,0.629
535,0.6375
536,0.648
537,0.6575
538,0.666
539,0.6725
540,0.644
541,0.6555
542,0.6665
543,0.674
544,0.6825
545,0.692
546,0.703
547,0.7135
548,0.7235
549,0.732
550,0.7045
551,0.7125
552,0.72
553,0.7305
554,0.742
555,0.749
556,0.76
557,0.7675
558,0.774
559,0.785
560,0.756
561,0.7665
562,0.7745
563,0.781
564,0.7885
565,0.7975
566,0.805
567,0.8145
568,0.8185
569,0.828
570,0.8005
571,0.8075
572,0.817
573,0.822
574,0.833
575,0.8385
576,0.844
577,0.8495
578,0.856
579,0.865
580,0.847
581,0.851
582,0.859
583,0.8675
584,0.8755
585,0.88
586,0.8845
587,0.8885
588,0.896
589,0.9015
590,0.889
591,0.894
592,0.9
593,0.906
594,0.9095
595,0.914
596,0.9175
597,0.921
598,0.925
599,0.9275
600,0.917
601,0.921
602,0.9245
603,0.928
604,0.931
605,0.935
606,0.938
607,0.9395
608,0.9435
609,0.9465
610,0.941
611,0.9445
612,0.947
613,0.9475
614,0.95
615,0.9515
616,0.955
617,0.957
618,0.959
619,0.9635
620,0.9555
621,0.9585
622,0.9605
623,0.9615
624,0.9645
625,0.965
626,0.967
627,0.968
628,0.9695
629,0.971
630,0.9675
631,0.9705
632,0.9715
633,0.9735
634,0.9735
635,0.9745
636,0.9765
637,0.9785
638,0.98
639,0.981
640,0.9765
641,0.978
642,0.9805
643,0.9815
644,0.983
645,0.9845
646,0.9845
647,0.986
648,0.9865
649,0.9875
650,0.9855
651,0.988
652,0.989
653,0.9895
654,0.99
655,0.991
656,0.9925
657,0.994
658,0.9945
659,0.9945
660,0.992
661,0.9925
662,0.9925
663,0.993
664,0.9945
665,0.995
666,0.9965
667,0.9965
668,0.997
669,0.9975
670,0.9965
671,0.9965
672,0.9965
673,0.998
674,0.999
675,0.999
676,0.999
677,0.999
678,0.999
679,0.999
680,0.998
681,0.998
682,0.998
683,0.999
684,0.999
685,0.999
686,0.999
687,0.999
688,0.999
689,0.999
690,0.9985
691,0.999
692,0.999
693,0.999
694,0.999
695,0.999
696,0.999
697,0.999
698,0.9995
699,0.9995
700,0.9995
701,0.9995
702,0.9995
703,0.9995
704,1
705,1
706,1
707,1
708,1
709,1
710,1
711,1
712,1
713,1
714,1
715,1
716,1
717,1
718,1
719,1
720,1
721,1
722,1
723,1
724,1
725,1
726,1
727,1
728,1
729,1
730,1
731,1
732,1
733,1
734,1
735,1
736,1
737,1
738,1
739,1
740,1
741,1
742,1
743,1
744,1
745,1
746,1
747,1
748,1
749,1
750,1
751,1
752,1
753,1
754,1
755,1
756,1
757,1
758,1
759,1
760,1
761,1
762,1
763,1
764,1
765,1
766,1
767,1
768,1
769,1
770,1
771,1
772,1
773,1
774,1
775,1
776,1
777,1
778,1
779,1
780,1
781,1
782,1
783,1
784,1
785,1
786,1
787,1
788,1
789,1
790,1
791,1
792,1
793,1
794,1
795,1
796,1
797,1
798,1
799,1
800,1
801,1
802,1
803,1
804,1
805,1
806,1
807,1
808,1
809,1
810,1
811,1
812,1
813,1
814,1
815,1
816,1
817,1
818,1
819,1
820,1
821,1
822,1
823,1
824,1
825,1
826,1
827,1
828,1
829,1
830,1
831,1
832,1
833,1
834,1
835,1
836,1
837,1
838,1
839,1
840,1
841,1
842,1
843,1
844,1
845,1
846,1
847,1
848,1
849,1
850,1
851,1
852,1
853,1
854,1
855,1
856,1
857,1
858,1
859,1
860,1
861,1
862,1
863,1
864,1
865,1
866,1
867,1
868,1
869,1
870,1
871,1
872,1
873,1
874,1
875,1
876,1
877,1
878,1
879,1
880,1
881,1
882,1
883,1
884,1
885,1
886,1
887,1
888,1
889,1
890,1
891,1
892,1
893,1
894,1
895,1
896,1
897,1
898,1
899,1
900,1
901,1
902,1
903,1
904,1
905,1
906,1
