"rank","LIS","cumulative_mean_LIS"
1,0.000499999999999945,0.000499999999999945
2,0.001,0.000749999999999973
3,0.00149999999999995,0.000999999999999964
4,0.002,0.00124999999999997
5,0.002,0.00139999999999998
6,0.002,0.00149999999999998
7,0.00249999999999995,0.00164285714285712
8,0.003,0.00181249999999998
9,0.003,0.00194444444444443
10,0.003,0.00204999999999998
11,0.004,0.00222727272727271
12,0.005,0.00245833333333332
13,0.00549999999999995,0.00269230769230768
14,0.00549999999999995,0.00289285714285713
15,0.006,0.00309999999999998
16,0.00649999999999995,0.00331249999999998
17,0.00649999999999995,0.00349999999999998
18,0.00700000000000001,0.00369444444444443
19,0.00800000000000001,0.00392105263157893
20,0.00800000000000001,0.00412499999999998
21,0.00800000000000001,0.0043095238095238
22,0.00849999999999995,0.00449999999999998
23,0.01,0.00473913043478259
24,0.0105,0.00497916666666665
25,0.011,0.00521999999999999
26,0.011,0.00544230769230768
27,0.012,0.00568518518518517
28,0.013,0.00594642857142856
29,0.0135,0.00620689655172412
30,0.0135,0.00644999999999999
31,0.0135,0.0066774193548387
32,0.0135,0.00689062499999998
33,0.014,0.00710606060606059
34,0.0145,0.00732352941176469
35,0.0145,0.00752857142857141
36,0.0145,0.0077222222222222
37,0.015,0.0079189189189189
38,0.016,0.0081315789473684
39,0.016,0.00833333333333332
40,0.017,0.00854999999999998
41,0.017,0.0087560975609756
42,0.018,0.00897619047619046
43,0.018,0.00918604651162789
44,0.0185,0.00939772727272726
45,0.0185,0.00959999999999999
46,0.0185,0.00979347826086955
47,0.019,0.00998936170212765
48,0.019,0.0101770833333333
49,0.019,0.0103571428571428
50,0.019,0.01053
51,0.0195,0.0107058823529412
52,0.0195,0.010875
53,0.0195,0.0110377358490566
54,0.02,0.0112037037037037
55,0.02,0.0113636363636364
56,0.02,0.0115178571428571
57,0.021,0.0116842105263158
58,0.021,0.0118448275862069
59,0.021,0.012
60,0.0215,0.0121583333333333
61,0.022,0.0123196721311475
62,0.022,0.0124758064516129
63,0.0225,0.0126349206349206
64,0.0225,0.0127890625
65,0.0225,0.0129384615384615
66,0.0225,0.0130833333333333
67,0.0225,0.0132238805970149
68,0.0235,0.013375
69,0.0245,0.013536231884058
70,0.0245,0.0136928571428571
71,0.025,0.0138521126760563
72,0.0255,0.0140138888888889
73,0.026,0.0141780821917808
74,0.026,0.0143378378378378
75,0.026,0.0144933333333333
76,0.0265,0.0146513157894737
77,0.0265,0.0148051948051948
78,0.0265,0.0149551282051282
79,0.027,0.0151075949367088
80,0.027,0.01525625
81,0.0275,0.0154074074074074
82,0.028,0.0155609756097561
83,0.028,0.015710843373494
84,0.0285,0.0158630952380952
85,0.029,0.0160176470588235
86,0.029,0.0161686046511628
87,0.0295,0.0163218390804598
88,0.0295,0.0164715909090909
89,0.0295,0.0166179775280899
90,0.03,0.0167666666666667
91,0.03,0.0169120879120879
92,0.0305,0.0170597826086956
93,0.031,0.0172096774193548
94,0.0315,0.0173617021276596
95,0.0315,0.0175105263157895
96,0.032,0.0176614583333333
97,0.0325,0.0178144329896907
98,0.0325,0.0179642857142857
99,0.033,0.0181161616161616
100,0.034,0.018275
101,0.0345,0.0184356435643564
102,0.0345,0.018593137254902
103,0.0345,0.018747572815534
104,0.035,0.0189038461538461
105,0.0355,0.0190619047619047
106,0.0355,0.0192169811320755
107,0.0355,0.0193691588785047
108,0.036,0.0195231481481481
109,0.036,0.0196743119266055
110,0.036,0.0198227272727273
111,0.0365,0.019972972972973
112,0.0365,0.0201205357142857
113,0.037,0.0202699115044248
114,0.037,0.0204166666666667
115,0.037,0.0205608695652174
116,0.037,0.0207025862068965
117,0.0375,0.0208461538461538
118,0.0385,0.0209957627118644
119,0.0385,0.0211428571428571
120,0.039,0.0212916666666667
121,0.039,0.0214380165289256
122,0.0395,0.0215860655737705
123,0.04,0.0217357723577236
124,0.04,0.021883064516129
125,0.04,0.022028
126,0.041,0.0221785714285714
127,0.041,0.0223267716535433
128,0.041,0.02247265625
129,0.0415,0.0226201550387597
130,0.042,0.0227692307692308
131,0.0425,0.0229198473282443
132,0.043,0.0230719696969697
133,0.043,0.0232218045112782
134,0.0435,0.0233731343283582
135,0.0445,0.0235296296296296
136,0.0445,0.0236838235294118
137,0.045,0.0238394160583942
138,0.0455,0.0239963768115942
139,0.046,0.0241546762589928
140,0.0465,0.0243142857142857
141,0.047,0.0244751773049645
142,0.047,0.0246338028169014
143,0.0475,0.0247937062937063
144,0.0475,0.0249513888888889
145,0.0475,0.0251068965517241
146,0.0475,0.0252602739726027
147,0.048,0.0254149659863946
148,0.048,0.0255675675675676
149,0.0485,0.0257214765100671
150,0.0485,0.0258733333333333
151,0.049,0.0260264900662252
152,0.0495,0.0261809210526316
153,0.0505,0.0263398692810457
154,0.0515,0.0265032467532467
155,0.0515,0.0266645161290322
156,0.052,0.0268269230769231
157,0.053,0.0269936305732484
158,0.0535,0.0271613924050633
159,0.0535,0.0273270440251572
160,0.054,0.02749375
161,0.0545,0.0276614906832298
162,0.0545,0.0278271604938271
163,0.055,0.0279938650306748
164,0.0555,0.0281615853658536
165,0.0555,0.0283272727272727
166,0.056,0.0284939759036144
167,0.056,0.0286586826347305
168,0.0565,0.0288244047619048
169,0.0565,0.0289881656804734
170,0.0575,0.0291558823529412
171,0.0575,0.0293216374269006
172,0.0575,0.0294854651162791
173,0.0585,0.0296531791907514
174,0.059,0.0298218390804598
175,0.06,0.0299942857142857
176,0.061,0.0301704545454545
177,0.061,0.0303446327683616
178,0.061,0.0305168539325843
179,0.061,0.0306871508379888
180,0.0615,0.0308583333333333
181,0.0615,0.0310276243093923
182,0.062,0.0311978021978022
183,0.0625,0.0313688524590164
184,0.0635,0.0315434782608696
185,0.064,0.0317189189189189
186,0.064,0.0318924731182796
187,0.0645,0.0320668449197861
188,0.0645,0.0322393617021276
189,0.0645,0.0324100529100529
190,0.0645,0.032578947368421
191,0.0645,0.0327460732984293
192,0.0645,0.0329114583333333
193,0.0655,0.033080310880829
194,0.0655,0.0332474226804124
195,0.0655,0.0334128205128205
196,0.0655,0.0335765306122449
197,0.066,0.033741116751269
198,0.0665,0.0339065656565656
199,0.0665,0.034070351758794
200,0.0665,0.0342325
201,0.067,0.0343955223880597
202,0.067,0.0345569306930693
203,0.0675,0.0347192118226601
204,0.068,0.0348823529411765
205,0.0685,0.0350463414634146
206,0.0685,0.0352087378640777
207,0.069,0.0353719806763285
208,0.07,0.0355384615384615
209,0.0705,0.0357057416267942
210,0.0705,0.0358714285714286
211,0.071,0.0360379146919431
212,0.071,0.0362028301886792
213,0.0715,0.036368544600939
214,0.073,0.0365397196261682
215,0.073,0.0367093023255814
216,0.073,0.0368773148148148
217,0.0735,0.0370460829493087
218,0.0735,0.0372133027522936
219,0.074,0.0373812785388128
220,0.074,0.0375477272727273
221,0.074,0.0377126696832579
222,0.0745,0.0378783783783784
223,0.0745,0.038042600896861
224,0.0745,0.0382053571428571
225,0.0745,0.0383666666666667
226,0.075,0.0385287610619469
227,0.075,0.0386894273127753
228,0.076,0.0388530701754386
229,0.077,0.0390196506550218
230,0.077,0.0391847826086956
231,0.077,0.0393484848484848
232,0.079,0.0395193965517241
233,0.0795,0.0396909871244635
234,0.08,0.0398632478632479
235,0.0805,0.040036170212766
236,0.0805,0.0402076271186441
237,0.081,0.040379746835443
238,0.081,0.0405504201680672
239,0.0815,0.0407217573221757
240,0.082,0.04089375
241,0.0835,0.0410705394190871
242,0.084,0.0412479338842975
243,0.084,0.0414238683127572
244,0.084,0.0415983606557377
245,0.0845,0.0417734693877551
246,0.085,0.0419491869918699
247,0.085,0.0421234817813765
248,0.0855,0.0422983870967742
249,0.086,0.0424738955823293
250,0.086,0.042648
251,0.087,0.0428247011952191
252,0.087,0.043
