"county_fips","county_name","n_tracts","total_weight","county_lis","county_desert_probability","county_aggregate_desert_probability","county_fdr_desert","coverage_median","fcr_miscoverage","fcr_lower","fcr_upper"
"01093","Marion County",11,1539,0.297111435997401,0.702888564002599,0.631,FALSE,0.296475159597098,,,
"01095","Marshall County",26,7177,0.0588522363104361,0.941147763689564,0.99,TRUE,0.142755293199689,0.0194029850746269,0.0914823418087379,0.340663257155384
"01097","Mobile County",130,26371,0.53226616358879,0.46773383641121,0,FALSE,0.56198670277259,,,
"01099","Monroe County",8,678,0.532187315634218,0.467812684365782,0.1125,FALSE,0.534418154558041,,,
"01101","Montgomery County",71,15396,0.741348142374643,0.258651857625357,0,FALSE,0.728215052766763,,,
"01103","Morgan County",31,7548,0.370495892951775,0.629504107048225,0.424,FALSE,0.3459852593559,,,
"01105","Perry County",3,522,0.254743295019157,0.745256704980843,0.7295,FALSE,0.237655768825201,,,
"01107","Pickens County",6,944,0.0707865466101695,0.92921345338983,0.977,TRUE,0.140399288682255,0.0194029850746269,0.0611842104657462,0.402917195501206
"01109","Pike County",11,1648,0.61774817961165,0.38225182038835,0.0545,FALSE,0.489508951032237,,,
"01111","Randolph County",6,1123,0.282391807658059,0.717608192341941,0.702,FALSE,0.269251993287106,,,
"01113","Russell County",18,3945,0.438594423320659,0.561405576679341,0.194,FALSE,0.412513832420895,,,
"01115","St. Clair County",24,5099,0.0664281231614042,0.933571876838596,0.99,TRUE,0.126615892759918,0.0194029850746269,0.077668828866937,0.340727827414235
"01117","Shelby County",53,12151,0.380743477903053,0.619256522096947,0.242,FALSE,0.36490367058482,,,
"01119","Sumter County",5,661,0.461187594553707,0.538812405446293,0.3955,FALSE,0.364900456332248,,,
"01121","Talladega County",24,4346,0.292026115968707,0.707973884031293,0.6375,FALSE,0.303986403114836,,,
"01123","Tallapoosa County",12,2140,0.468993925233645,0.531006074766355,0.2635,FALSE,0.38355686993367,,,
"01125","Tuscaloosa County",54,12970,0.346658481110254,0.653341518889746,0.3215,FALSE,0.358562353256152,,,
"01127","Walker County",20,3705,0.236289743589744,0.763710256410256,0.871,FALSE,0.244062917463816,,,
"01129","Washington County",5,842,0.274501781472684,0.725498218527316,0.721,FALSE,0.255756287527391,,,
"01131","Wilcox County",5,634,0.147473186119874,0.852526813880126,0.863,TRUE,0.186396392912326,0.0194029850746269,0.0699112392697978,1.10010452064399
"01133","Winston County",8,1220,0.206833196721311,0.793166803278688,0.9205,FALSE,0.20964824932312,,,
