"county_fips","county_name","n_tracts","total_weight","county_lis","county_desert_probability","county_aggregate_desert_probability","county_fdr_desert","coverage_median","fcr_miscoverage","fcr_lower","fcr_upper"
"01001","Autauga County",17,3430,0.423079300291545,0.576920699708455,0.244,FALSE,0.39332941720741,,,
"01003","Baldwin County",42,12448,0.374315432197943,0.625684567802057,0.2625,FALSE,0.368346801503532,,,
"01005","Barbour County",9,1380,0.158686956521739,0.841313043478261,0.8885,FALSE,0.21660169683853,,,
"01007","Bibb County",8,1069,0.125520579981291,0.874479420018709,0.9135,TRUE,0.17922813385238,0.0194029850746269,0.0825097857819319,0.912951515451312
"01009","Blount County",16,3397,0.190475566676479,0.809524433323521,0.8915,FALSE,0.234594428694409,,,
"01011","Bullock County",4,552,0.367275362318841,0.632724637681159,0.5985,FALSE,0.299199489555359,,,
"01013","Butler County",9,1066,0.301665572232645,0.698334427767355,0.5825,FALSE,0.306073195700421,,,
"01015","Calhoun County",35,6504,0.33360332103321,0.66639667896679,0.4065,FALSE,0.348349718354623,,,
"01017","Chambers County",9,1985,0.549242569269521,0.450757430730479,0.1615,FALSE,0.420112920246918,,,
"01019","Cherokee County",8,1178,0.336113752122241,0.663886247877759,0.587,FALSE,0.310653621681236,,,
"01021","Chilton County",12,2758,0.139561638868745,0.860438361131254,0.9355,TRUE,0.195332193195668,0.0194029850746269,0.109224393161428,0.740501278143958
"01023","Choctaw County",4,674,0.317830118694362,0.682169881305638,0.6825,FALSE,0.269819367705128,,,
"01025","Clarke County",9,1336,0.324181511976048,0.675818488023952,0.389,FALSE,0.355132989299022,,,
"01027","Clay County",4,744,0.321696908602151,0.678303091397849,0.3845,FALSE,0.370375341565051,,,
"01029","Cleburne County",4,900,0.377181111111111,0.622818888888889,0.6285,FALSE,0.300684914797874,,,
"01031","Coffee County",16,3339,0.387888888888889,0.612111111111111,0.5495,FALSE,0.32242579592231,,,
"01033","Colbert County",15,3246,0.347806531115219,0.652193468884781,0.5155,FALSE,0.325716752611354,,,
"01035","Conecuh County",5,608,0.252364309210526,0.747635690789474,0.709,FALSE,0.273221226676006,,,
"01037","Coosa County",3,496,0.165221774193548,0.834778225806452,0.8675,FALSE,0.18904852003526,,,
"01039","Covington County",14,2185,0.624294508009153,0.375705491990847,0.011,FALSE,0.533818386165575,,,
"01041","Crenshaw County",6,714,0.312205882352941,0.687794117647059,0.573,FALSE,0.307399090291888,,,
"01043","Cullman County",22,5217,0.20779049262028,0.79220950737972,0.879,FALSE,0.238885816126882,,,
"01045","Dale County",14,3295,0.281605766312595,0.718394233687405,0.6235,FALSE,0.308764020957256,,,
"01047","Dallas County",17,2226,0.359218104222821,0.640781895777179,0.5915,FALSE,0.306912416980121,,,
"01049","DeKalb County",21,4250,0.0887424705882353,0.911257529411765,0.978,TRUE,0.158837758669383,0.0194029850746269,0.0974305120919995,0.413955499247641
"01051","Elmore County",20,4782,0.341574445838561,0.658425554161439,0.4825,FALSE,0.333329334165347,,,
"01053","Escambia County",10,2138,0.428927736202058,0.571072263797942,0.3475,FALSE,0.368224279808186,,,
"01055","Etowah County",33,5947,0.302297460904658,0.697702539095342,0.6285,FALSE,0.307962193619015,,,
"01057","Fayette County",5,786,0.153550254452926,0.846449745547074,0.919,TRUE,0.184033330456504,0.0194029850746269,0.0826683499659402,0.656690791699579
"01059","Franklin County",11,2162,0.123160037002775,0.876839962997225,0.941,TRUE,0.193510758979007,0.0194029850746269,0.102374830820073,0.55626496281517
"01061","Geneva County",6,1434,0.394726638772664,0.605273361227336,0.462,FALSE,0.338001822662812,,,
"01063","Greene County",4,307,0.435609120521173,0.564390879478827,0.102,FALSE,0.642598443623192,,,
"01065","Hale County",7,969,0.301125902992776,0.698874097007224,0.531,FALSE,0.317813143053329,,,
"01067","Henry County",6,848,0.122014740566038,0.877985259433962,0.907,TRUE,0.182660977500966,0.0194029850746269,0.0794672091486696,0.96604692298777
"01069","Houston County",26,6706,0.586956456904265,0.413043543095735,0.007,FALSE,0.453445216888056,,,
"01071","Jackson County",16,2773,0.0435138838802741,0.956486116119726,0.993,TRUE,0.10490591484686,0.0194029850746269,0.0583992664626787,0.267944048846535
"01073","Jefferson County",184,41493,0.599064227701058,0.400935772298942,0,FALSE,0.627194592730645,,,
"01075","Lamar County",4,919,0.245366702937976,0.754633297062024,0.772,FALSE,0.255286415344773,,,
"01077","Lauderdale County",26,4764,0.392757976490344,0.607242023509656,0.3345,FALSE,0.360791569917721,,,
"01079","Lawrence County",11,1802,0.117686182019978,0.882313817980022,0.9525,TRUE,0.190864011427251,0.0194029850746269,0.102310061112805,0.490774672391199
"01081","Lee County",44,9726,0.604214579477689,0.395785420522311,0,FALSE,0.6097092216513,,,
"01083","Limestone County",23,5887,0.284349413962969,0.715650586037031,0.756,FALSE,0.279916095440359,,,
"01085","Lowndes County",4,575,0.0296208695652174,0.970379130434783,0.9885,TRUE,0.100680284223631,0.0194029850746269,0.0405319950598854,0.339992578665135
"01087","Macon County",12,920,0.703216304347826,0.296783695652174,0.011,FALSE,0.592837814982364,,,
"01089","Madison County",95,22629,0.576356113836228,0.423643886163772,0,FALSE,0.546549036199824,,,
"01091","Marengo County",8,1194,0.4590297319933,0.5409702680067,0.259,FALSE,0.41124918736213,,,
